8.810E-03 0.3792  0.9899 2.012E-22 2.288E+04
8.861E-03 0.3778  0.9898 2.019E-22 2.300E+04
8.913E-03 0.3765  0.9897 2.025E-22 2.312E+04
8.964E-03 0.3752  0.9895 2.031E-22 2.324E+04
9.016E-03 0.3739  0.9894 2.038E-22 2.336E+04
9.068E-03 0.3726  0.9893 2.044E-22 2.348E+04
9.120E-03 0.3713  0.9891 2.050E-22 2.360E+04
9.173E-03 0.3700  0.9890 2.056E-22 2.372E+04
9.226E-03 0.3687  0.9889 2.063E-22 2.384E+04
9.279E-03 0.3674  0.9887 2.069E-22 2.396E+04
9.333E-03 0.3662  0.9886 2.075E-22 2.408E+04
9.386E-03 0.3649  0.9884 2.081E-22 2.420E+04
9.441E-03 0.3636  0.9883 2.087E-22 2.432E+04
9.495E-03 0.3624  0.9882 2.093E-22 2.443E+04
9.550E-03 0.3611  0.9880 2.099E-22 2.455E+04
9.605E-03 0.3599  0.9879 2.104E-22 2.467E+04
9.661E-03 0.3586  0.9877 2.110E-22 2.478E+04
9.716E-03 0.3574  0.9876 2.116E-22 2.490E+04
9.772E-03 0.3562  0.9874 2.122E-22 2.501E+04
9.829E-03 0.3549  0.9873 2.127E-22 2.513E+04
9.886E-03 0.3537  0.9871 2.133E-22 2.524E+04
9.943E-03 0.3525  0.9870 2.139E-22 2.535E+04
1.000E-02 0.3513  0.9869 2.144E-22 2.547E+04
1.006E-02 0.3501  0.9867 2.150E-22 2.558E+04
1.012E-02 0.3489  0.9866 2.155E-22 2.569E+04
1.017E-02 0.3477  0.9864 2.160E-22 2.580E+04
1.023E-02 0.3466  0.9863 2.166E-22 2.591E+04
1.029E-02 0.3454  0.9861 2.171E-22 2.602E+04
1.035E-02 0.3442  0.9860 2.176E-22 2.613E+04
1.041E-02 0.3430  0.9858 2.181E-22 2.624E+04
1.047E-02 0.3418  0.9857 2.186E-22 2.635E+04
1.053E-02 0.3406  0.9855 2.191E-22 2.646E+04
1.059E-02 0.3394  0.9854 2.196E-22 2.656E+04
1.065E-02 0.3381  0.9852 2.201E-22 2.667E+04
1.072E-02 0.3369  0.9851 2.205E-22 2.678E+04
1.078E-02 0.3357  0.9849 2.210E-22 2.688E+04
1.084E-02 0.3344  0.9848 2.214E-22 2.699E+04
1.090E-02 0.3331  0.9846 2.218E-22 2.709E+04
1.096E-02 0.3317  0.9845 2.222E-22 2.719E+04
1.103E-02 0.3303  0.9843 2.226E-22 2.730E+04
1.109E-02 0.3289  0.9842 2.230E-22 2.740E+04
1.116E-02 0.3275  0.9840 2.233E-22 2.750E+04
